part|module|q_code|q_desc|a_code|a_desc
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|11|Rondônia
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|12|Acre
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|13|Amazonas
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|14|Roraima
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|15|Pará
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|16|Amapá
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|17|Tocantins
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|21|Maranhão
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|22|Piauí
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|23|Ceará
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|24|Rio Grande do Norte
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|25|Paraíba
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|26|Pernambuco
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|27|Alagoas
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|28|Sergipe
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|29|Bahia
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|31|Minas Gerais
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|32|Espírito Santo
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|33|Rio de Janeiro
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|35|São Paulo
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|41|Paraná
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|42|Santa Catarina
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|43|Rio Grande do Sul
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|50|Mato Grosso do Sul
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|51|Mato Grosso
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|52|Goiás
Parte 1 - Identificação e Controle||v0001|Unidade da Federação|53|Distrito Federal
Parte 1 - Identificação e Controle||v0024|Estrato|NA|NA
Parte 1 - Identificação e Controle||upa_pns|UPA|NA|NA
Parte 1 - Identificação e Controle||v0006_pns|Número de ordem do domicílio na PNS|NA|NA
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|1|Realizada
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|2|Domicilio Fechado
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|3|Recusa
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|4|Outro Motivo
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|5|Domicílio vago
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|6|Domicílio de uso ocasional
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|7|Domicílio coletivo ou improvisado
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|8|Domicílio em obras ou em ruínas
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|9|Domicilio demolido
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|10|Domicílio não encontrado
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|11|Unidade não residencial
Parte 1 - Identificação e Controle||v0015|Tipo da entrevista|12|Domicílio fora do setor
Parte 1 - Identificação e Controle||v0020|Ano de referência|NA|NA
Parte 1 - Identificação e Controle||v0022|Total de moradores|01 a 30|Pessoas
Parte 1 - Identificação e Controle||v0022|Total de moradores|NA|Não aplicável
Parte 1 - Identificação e Controle||v0026|Tipo de situação censitária|1|Urbano
Parte 1 - Identificação e Controle||v0026|Tipo de situação censitária|2|Rural
Parte 1 - Identificação e Controle||v0031|Tipo de área|1|Capital
Parte 1 - Identificação e Controle||v0031|Tipo de área|2|Resto da RM (Região Metropolitana, excluindo a capital)
Parte 1 - Identificação e Controle||v0031|Tipo de área|3|RIDE (excluindo a capital)
Parte 1 - Identificação e Controle||v0031|Tipo de área|4|Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)
Parte 1 - Identificação e Controle||v0025a|Seleção do morador de 15 anos ou mais para responder o questionário individual|0|Não selecionado
Parte 1 - Identificação e Controle||v0025a|Seleção do morador de 15 anos ou mais para responder o questionário individual|1|Selecionado
Parte 1 - Identificação e Controle||v0025a|Seleção do morador de 15 anos ou mais para responder o questionário individual|9|Não aplicável
Parte 1 - Identificação e Controle||v0025b|Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida|0|Não selecionado
Parte 1 - Identificação e Controle||v0025b|Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida|1|Selecionado
Parte 1 - Identificação e Controle||v0025b|Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida|9|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a001|Tipo do domicílio|1|Casa
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a001|Tipo do domicílio|2|Apartamento
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a001|Tipo do domicílio|3|Habitação em casa de cômodos, cortiço ou cabeça de porco
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a001|Tipo do domicílio|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a001|Tipo do domicílio|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|1|Alvenaria com revestimento ou taipa revestida
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|2|Alvenaria sem revestimento
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|3|Taipa sem revestimento
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|4|Madeira apropriada para construção (aparelhada)
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|5|Madeira aproveitada
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|6|Outro material
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|9|Ignorado
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a002010|Qual é o material que predomina na construção das paredes externas deste domicílio?|NA|Não aplicável
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|1|Telha sem laje de concreto
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|2|Telha com laje de concreto
Parte 2 - Domicílio|Módulo A - Informações do Domicílio|a003010|Material predominante na cobertura (telhado) do domicílio|3|Somente laje de concreto
