age|sex|year|name|value
0-1|male|2019|qx|0.01285
0-1|male|2019|lx|100000
0-1|male|2019|Lx|98829
0-1|male|2019|Tx|7168525
0-1|male|2019|ex|71.69
1-4|male|2019|qx|0.00227
1-4|male|2019|lx|98715
1-4|male|2019|Lx|394329
1-4|male|2019|Tx|7069696
1-4|male|2019|ex|71.62
5-5|male|2019|qx|0.00135
5-5|male|2019|lx|98491
5-5|male|2019|Lx|492102
5-5|male|2019|Tx|6675367
5-5|male|2019|ex|67.78
10-5|male|2019|qx|0.00175
10-5|male|2019|lx|98358
10-5|male|2019|Lx|491425
10-5|male|2019|Tx|6183265
10-5|male|2019|ex|62.86
15-5|male|2019|qx|0.00748
15-5|male|2019|lx|98186
15-5|male|2019|Lx|489316
15-5|male|2019|Tx|5691840
15-5|male|2019|ex|57.97
20-5|male|2019|qx|0.01138
20-5|male|2019|lx|97452
20-5|male|2019|Lx|484550
20-5|male|2019|Tx|5202524
20-5|male|2019|ex|53.39
25-5|male|2019|qx|0.01144
25-5|male|2019|lx|96343
25-5|male|2019|Lx|478954
25-5|male|2019|Tx|4717974
25-5|male|2019|ex|48.97
30-5|male|2019|qx|0.01227
30-5|male|2019|lx|95241
30-5|male|2019|Lx|473330
30-5|male|2019|Tx|4239020
30-5|male|2019|ex|44.51
35-5|male|2019|qx|0.01439
35-5|male|2019|lx|94072
35-5|male|2019|Lx|467079
35-5|male|2019|Tx|3765690
35-5|male|2019|ex|40.03
40-5|male|2019|qx|0.01853
40-5|male|2019|lx|92718
40-5|male|2019|Lx|459490
40-5|male|2019|Tx|3298611
40-5|male|2019|ex|35.58
45-5|male|2019|qx|0.02591
45-5|male|2019|lx|91000
45-5|male|2019|Lx|449420
45-5|male|2019|Tx|2839121
45-5|male|2019|ex|31.2
50-5|male|2019|qx|0.03715
50-5|male|2019|lx|88642
50-5|male|2019|Lx|435408
50-5|male|2019|Tx|2389701
50-5|male|2019|ex|26.96
55-5|male|2019|qx|0.05271
55-5|male|2019|lx|85349
55-5|male|2019|Lx|416028
55-5|male|2019|Tx|1954294
55-5|male|2019|ex|22.9
60-5|male|2019|qx|0.0741
60-5|male|2019|lx|80850
60-5|male|2019|Lx|389962
60-5|male|2019|Tx|1538266
60-5|male|2019|ex|19.03
65-5|male|2019|qx|0.10709
65-5|male|2019|lx|74859
65-5|male|2019|Lx|355214
